Product_number;Product_description;M-Check Packaging
274460003300;Kartoffeln festkochend 2.5kg;5
274450003300;Kartoffeln mehligkochend 2.5kg;5
265384102300;Bio Trauben gemischt kernlos;4
265383002300;Bio Trauben weiss kernlos;4
235300383000;Bio Pastrami     MAXI;2
233600501000;Bio Quick Chaemi Nierst.;4
233600211000;Bio Quick Chaemi Schuefel;4
233520611000;Bio Bratspeck   MIDI;3
233520183000;Bio Speckwuerfeli Carlino;3
233520182500;SE Bio Speckwuerfeli 4x60 ( 2*55 g ! );3
233120291700;SE Bio Landrauchschinken;2
233120291600;Bio LandrauchschinkenMAXI;2
233120075000;Bio Kirschcarree;2
233110166200;Bio Bauern-Speck MINI;2
233100280500;Bio App Mostbroeckli Midi;2
233022270000;Bio Coppa MAXI;2
233011586200;SE Bio VS Rohschinken;2
233011586100;Bio Rohschinken VS FRESH;2
233011586000;Bio IGP Wall Rohsch MAXI;1
233011083500;Bio Buend.Rohschink.MAXI;1
233011081000;SE Bio Buend. Rohschinken;1
233001058000;SE Bio Hobelfleisch;2
233001054000;Bio Hobelfleisch;2
233000785500;Bio IGP VS Trockenfl MAXI;1
232300185700;SE Bio Salami   MAXI;2
232300185300;Bio Salami   MAXI;2
232103001500;Bio Pork Sticks 5x18g;3
231525586100;Bio Pouletbrust 100g;2
231525583100;Bio Pouletbrust      MAXI;2
231510582000;Bio Gewuerzschinken MAXI;2
231505808300;SE Bio Chaemischinken;2
231505808100;Bio Chaemischinken   MAXI;2
231500182000;Bio Hinter-Schin.wuerfeli;3
231040881000;Bio Ofenfleischkaese;2
230510051200;Bio Schw.-Wuerstli 2Paar;4
230510051000;Bio GRI Kaesewuer 8SVAC;4
230500250100;Bio Wienerli 2x2vac;4
230500151200;Bio Cervelas 2x100g;4
230114080000;Bio Cipollata 8 Stk.;4
230110008500;Bio Bratwurst/Cervela Mix;4
230110008100;Bio Bratwurst 2STK;4
230104061900;Bio Saucisson Grille 180g;3
227250015020;Bio S-Saltimbocca 2 STK;3
227221020020;Bio R-Fleischvoegel;3
227220022020;Bio R-Hamburger 2Stk;3
220662000020;Bio S-Filet ganz 1Stk;3
220658010020;Bio S-Halssteak gewuerzt;3
220654010020;Bio S-Koteletten 1Stk;3
220651510020;Bio S-Cordon Bleu Nierst.;3
220650340020;SE Bio S-Nierstue hd 8Stk;3
220650330120;SE Bio S-Nierst.Steak 2St;3
220650330020;Bio S-Nierstue hd 4-5Stk;3
220636555520;SE Bio S-Carreerip. gew.;3
220624020020;Bio S-Geschnetzelt 2-300g;3
220260010040;Bio WB R-Entrecote 1Stk;3
220250020040;Bio WB R-Plaetzli 2Stk;2
220224020040;Bio WB R-Geschnetz 2-300g;3
220222030040;Bio WB R-Voressen 25-300g;3
220220055592;SE Bio R-Hackfl IMP;3
220220030020;Bio R-Hackfleisch ca.300g;3
162052200000;BIO ROESTIKROKETTEN 300G;4
162026500000;BIO KNOSPE FRITES 500G;4
162026100000;BIO KNOSPE WEDGES 500G;4
161625000000;SE BIO HACKSPINAT 2X;4
161622900000;BIO BLATTSPINAT 500G;4
161622100000;BIO RAHMSPINAT 500G;4
161621800000;BIO HACKSPINAT 500G;4
161430300000;BIO MARRONI 400G;4
160574300000;V-Love Strawberry Cone;3
160574100000;V-Love Almond Stick ;3
160573900000;V-Love Coco Chocolate Lutscher;3
160573700000;V-Love Chocolate Cone;3
160566400000;Cold Brew Coffee Lutscher;3
160408200000;V-Love Coco Pralinés;2
160401400000;CHOQUELLO PRALINE 8ST;3
160392900000;AHA GLACE VANILLE 1L;2
160392700000;AHA CORNET VAN. 6X120ML;2
160381800000;BIO K SCHOKO 450ML DS;3
160381700000;BIO K VANILLE 450ML DS;3
160381600000;BIO K VANILLE 1L DS;3
160320200000;CREMDOR CORNET COFFEE 6ST;3
160319600000;M-CLAS VACHERIN 150ML;2
160319500000;M-CLAS BANANA SPLIT 150ML;2
160319400000;M-CLAS AMARENA 150ML;2
160319300000;M-CLAS ICE COFFEE 165ML;2
160319200000;M-CLAS CAPPUCCINO 165ML;2
160319100000;M-CLAS JAPONAIS 165ML;2
160315800000;M-SELEC PRAL. MARC CHAMP.;2
160310200000;FUN CORN MINI VAN/CHOC.;3
160310000000;FUN CORN.PETIT VAN./ERDB.;2
160309600000;FUN CORNET COLORETTO 8ST;2
160308800000;FUN CORNET ERDBEER 8ST;3
160308600000;FUN CORNET CHOCOLAT 8ST;3
160308400000;FUN CORNET VANILLE 8ST;3
160308200000;SE FUN VAN/ERD CORNET 16X;3
160306200000;BIO M-SELEC SOR.ZIT.120ML;2
160216600000;V-Love Vanilla;3
130863200000;VL Muesli Classic 200g;3
130815300000;AB Crunchymue.Erdbeer300g;3
130813200000;Bio Birchermuesli 300g;3
130812800000;YOU Birchermuesli 300g;3
130812000000;AB Bircherm. Winter 300g;3
130811800000;AB LE Bircherm. Som. 300g;3
130811700000;AB LE Bircher. Frue. 300g;3
130811600000;AB Birchermuesli 300g;3
130379900000;VL Lentil Salad 250g;3
130379800000;VL Salad Edamame 250g;3
130379600000;VL Asia Noodlesalat 250g;3
130360000000;MB Pastas. Schinken  300g;4
130316100000;MB Kartoffelsalat    525g;4
130313500000;Bio Linsensalat 210g;4
130313400000;Bio Randensalat      200g;4
130311700000;ABV UF Taboules. Mang300g;3
130311400000;ABV UF Eblysal.Gemues300g;3
130311200000;AB Maissalat 180g;3
130311100000;AB Selleriesalat 180g;3
130311000000;AB Hoernlisalat 180g;3
130310900000;AB Kartoffelsalat 180g;3
130310000000;AB Pastasalat Caprese300g;3
130309900000;AB Coleslawsalat     250g;3
130309600000;AB MSC Crevettensalat190g;4
130309200000;AB Selleriesalat     300g;4
130309100000;AB Karottensalat     250g;4
130309000000;AB Gurkensalat       300g;4
130308900000;AB Taboule Oriental 250g;4
130308500000;AB Pouletsalat 300g;4
130308400000;AB Cerv.-Kaese Salat 280g;4
130308200000;AB Russischer Salat  300g;4
130308100000;AB Maissalat         300g;4
130308000000;AB Kartoffelsalat    300g;4
121513500000;Sirup Winterzauber m. Glühweinaroma 75cl;4
113373200000;M-Classic Schwarzwäldertorte;2
111922200000;IP Fonduebrot;3
111915100000;IP Butterzopf 550g;4
111913500000;IP Pain Sarment 300g;3
111912000000;IP Pain Sarment rustique;3
111900200000;M-CLAS IP Buttergipfel 240g;3
106273900000;M-CLAS PANIERMEHL 300G BTL;4
105387200000;SQ HASELNUESSE 200G;4
105385800000;SQ MANDELN 200G;4
105362500000;SQ NUSSMISCHUNG 200G;4
105354000000;SQ PECANNUESSE 150G BTL;4
105351200000;SQ MACADAMIANUESSE 150G;4
105350500000;SQ NUSSMISCHUNG GEROE 170G;4
105350400000;SQ MANDELN GEROESTET 200G;4
105350300000;SQ HASELNUESSE GEROES 200G;4
105330200000;M-Cla Pistazienkerne 60g;3
105320000000;SQ CASHEWNUESSE 200G BTL;4
105319100000;SQ MAX HAV PARANUESSE;4
105317400000;SQ WALNUSSKERNE 130G BTL;3
105286500000;SQ MANGOSCHNITZE 200G;3
105271300000;SQ KOKOSSCHNITZE 100G;3
105260100000;BIO Sultaninen 400g;4
105255700000;SQ CHERRY PICKER 170G;4
105255000000;SQ CHOCO FRUITS NUTS MIX 170G;4
105251000000;M-CLAS PFLAUMEN 300G BTL;4
105240800000;YOU Protein Mix 170g;3
105240100000;SQ SOFT FRUIT PFLAUM.250G;3
105232000000;SQ FEIGEN SMYRNA 500G BTL;4
105222200000;SQ PFLAUMEN 300G BTL;4
105222100000;SQ TUERK. APRIKOSEN;4
105222000000;SQ APFELSTUECK 200G BTL;3
105221500000;SQ MEDJOOL DATTELN 227G;2
105220800000;SQ MISCHOBST;3
105220600000;SQ ISLAND HOPPER 170G;4
105220000000;SQ DATTELN 300G BTL;4
105211900000;SQ CRANBERRY & NUTS 200G;4
105211800000;SQ STUDENTENFUTTER;4
105207600000;SQ CASHEW & CRANBERRY 170G;4
105207500000;SQ CRANBERRIES 200G;4
105207300000;M-CLAS TUERK. APRIKOSEN;4
105205000000;SQ APRIKOSEN GETR200G BTL;4
105202500000;M-CLAS APFELSTUECK 250G BTL;3
105202400000;SQ ANANASRINGE 100G BTL;3
